player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
CeeDee Lamb,61570,WR,DAL,18,197,0,9,0,-2.4,1,100.0,,0,0,0.0,0,0.14,3,0,91.8,68.6,0,10,0.0,0,55,45.5,10,100.0,55,83.3,10,18.2,0,40,64,6.4,4.0,0.73,9.9,10,68.1,35.3,6,17,4.9,4,0.2,52,0,91.0,92.6,2,49,0.0,0,435,51.8,77,93.6,407,112.3,113,27.8,8,1009,388,5.0,13.1,2.48
Amon-Ra St. Brown,84470,WR,DET,19,190,0,11,0,-3.5,3,95.5,,0,0,4.5,1,-0.12,11,0,90.2,90.0,0,20,0.0,0,74,47.9,21,95.9,71,110.8,22,31.0,1,153,226,10.8,7.3,2.15,6.6,10,76.2,56.3,9,16,1.2,1,0.13,49,0,90.4,92.1,0,46,0.7,3,401,50.5,80,96.5,387,115.9,105,27.1,5,867,416,5.2,10.8,2.24
Stefon Diggs,9579,WR,BUF,19,175,0,4,0,-2.6,6,91.7,,0,0,4.3,1,-0.13,6,2,90.5,70.6,0,34,0.0,0,62,48.3,22,96.8,60,87.3,24,40.0,0,119,176,8.0,5.4,1.98,6.6,5,67.2,75.0,3,4,6.8,3,0.15,16,1,88.7,79.1,2,34,0.0,0,251,49.6,41,95.6,240,75.8,61,25.4,2,299,197,4.8,7.3,1.25
Tyreek Hill,10799,WR,MIA,17,175,0,17,0,-3.4,3,93.3,,0,0,3.4,1,0.01,9,1,91.7,90.0,0,64,0.0,0,67,51.5,28,98.5,66,89.7,30,45.5,0,166,260,9.3,5.9,2.52,9.5,7,66.2,18.2,2,11,10.0,5,0.18,23,1,63.6,93.9,3,78,0.0,0,195,45.9,45,94.9,185,79.3,68,36.8,1,580,295,6.6,12.9,3.14
Davante Adams,8688,WR,LV,17,171,0,23,0,-0.3,3,100.0,,0,0,0.0,0,-0.21,1,0,91.1,52.6,0,16,0.0,0,57,42.9,7,98.2,56,128.3,7,12.5,1,37,39,5.6,5.3,0.66,9.2,2,63.6,50.0,3,6,6.7,1,0.02,7,0,69.1,76.7,0,24,0.0,0,102,42.9,14,96.1,98,97.5,22,22.4,1,144,52,3.7,10.3,1.47
Garrett Wilson,97405,WR,NYJ,17,163,0,22,0,-1.4,1,77.8,,0,0,22.2,2,-0.14,0,0,26.3,42.0,0,9,0.0,0,77,33.8,7,96.1,74,80.1,9,12.2,0,29,40,5.7,4.1,0.39,6.0,11,70.7,50.0,4,8,8.9,4,-0.23,14,1,57.7,67.3,1,31,0.0,0,222,37.3,41,93.7,208,76.8,58,27.9,0,320,108,2.6,7.8,1.54
Puka Nacua,100632,WR,LA,18,163,0,26,0,-1.3,4,88.9,0.0,0,1,5.9,1,-0.12,5,1,78.3,58.3,0,21,3.2,2,63,42.6,16,93.7,59,90.3,18,30.5,0,102,123,7.7,6.4,1.73,12.2,1,64.1,62.5,5,8,16.7,5,0.03,17,1,50.2,90.3,1,70,0.5,1,200,42.7,25,88.5,177,107.5,39,22.0,2,427,166,6.6,17.1,2.41
Travis Kelce,7844,TE,KC,19,155,0,16,0,-2.4,9,95.5,,0,0,4.5,1,0.04,9,0,90.5,88.4,0,24,5.9,6,102,50.5,21,89.2,91,122.5,22,24.2,2,135,185,8.8,6.4,1.48,7.9,5,78.5,50.0,4,8,6.1,4,-0.04,34,1,80.8,85.1,2,28,0.8,3,363,46.8,62,92.8,337,102.4,79,23.4,3,638,220,3.5,10.3,1.89
A.J. Brown,48327,WR,PHI,17,152,0,24,0,-2.5,1,100.0,,0,0,0.0,0,-0.1,1,0,90.9,47.3,0,8,0.0,0,60,43.9,4,95.0,57,85.4,4,7.0,0,18,28,7.0,4.5,0.32,9.3,3,75.0,40.0,2,5,11.8,2,-0.13,10,0,91.0,91.6,0,59,0.0,0,145,40.9,15,94.5,137,128.1,20,14.6,1,225,103,6.9,15.0,1.64
Michael Pittman Jr.,29049,WR,IND,16,150,0,14,0,-1.8,0,95.2,0.0,0,1,0.0,0,-0.24,5,0,93.1,85.9,0,39,0.0,0,62,40.0,20,96.8,60,110.9,21,35.0,1,143,179,9.0,7.2,2.38,6.2,0,72.7,50.0,1,2,11.1,2,0.05,7,1,91.5,77.7,1,13,0.6,1,155,44.5,16,93.5,145,79.4,22,15.2,1,108,61,3.8,6.8,0.74
Mike Evans,8642,WR,TB,19,146,0,30,0,-3.0,0,100.0,,0,0,0.0,0,0.01,0,0,78.7,37.9,0,2,0.0,0,52,41.2,1,98.1,51,79.2,1,2.0,0,2,5,5.0,2.0,0.04,14.8,1,58.3,57.1,4,7,4.5,1,-0.04,15,0,63.9,88.0,2,75,0.0,0,195,41.3,21,94.4,184,89.4,36,19.6,3,294,98,4.7,14.0,1.6
