player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Troy Reeder,38268,LB,LA,9,0,0,26,62.3,0,0,6,8.3,16.7,1,0,0.0,0,96,8,0,0,65.5,0,0,4,20.0,25.0,1,0.0,0,25,5,0
Camryn Bynum,38408,S,MIN,17,0,0,18,56.1,0,0,9,1.3,0.0,0,0,11.1,1,700,9,1,0,60.5,0,0,1,0.4,0.0,0,100.0,1,248,1,1
Cameron Goode,38410,ED,MIA,8,0,0,17,63.1,2,2,38,78.4,10.5,4,0,5.3,0,51,40,4,0,56.8,1,1,24,78.1,8.3,2,4.2,0,32,25,2
Casey Toohill,38472,ED,WAS,16,1,0,32,54.0,2,8,276,96.7,5.1,14,0,3.6,5,301,291,15,0,53.2,1,8,135,95.4,6.7,9,4.8,2,152,145,11
Matthew Adams,38526,LB,CLV,4,0,0,8,73.7,0,0,9,18.0,11.1,1,0,0.0,0,50,9,0,0,53.9,0,0,2,8.0,0.0,0,0.0,0,25,2,0
Marquise Copeland,38540,DI,LA,1,0,0,26,56.7,0,0,2,100.0,0.0,0,0,0.0,0,3,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jordan Kunaszyk,38548,LB,CLV,2,0,0,8,51.1,0,0,4,13.3,0.0,0,0,0.0,0,30,4,0,0,52.5,0,0,3,23.1,0.0,0,0.0,0,13,3,0
Folorunso Fatukasi,38558,DI,JAX,16,1,0,15,58.8,2,14,212,99.6,7.5,16,0,3.8,0,224,223,16,1,69.7,2,6,63,100.0,17.5,11,6.3,0,68,68,8
Maurice Hurst,38563,DI,CLV,13,2,0,8,75.9,3,13,163,98.3,14.1,23,4,6.1,2,176,173,18,1,78.0,1,7,74,97.6,16.2,12,8.1,2,83,81,10
Eric Wilson,38587,LB,GB,9,0,0,12,56.0,1,2,10,10.5,0.0,0,0,15.0,0,105,11,3,0,61.3,1,1,7,10.6,0.0,0,14.3,0,66,7,2
Tershawn Wharton,40292,DI,KC,21,0,0,16,67.5,2,18,331,97.2,9.4,31,1,3.9,3,353,343,23,0,73.5,2,11,130,97.8,14.6,19,6.5,2,139,136,15
L'Jarius Sneed,40588,CB,KC,20,0,6,16,61.6,3,3,17,2.3,5.9,1,18,17.6,0,799,18,6,0,53.1,1,1,6,2.2,0.0,0,16.7,0,324,7,2
Reggie Gilliam,40951,FB,BUF,1,0,0,4,60.0,0,0,1,100.0,0.0,0,1,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Alohi Gilman,41662,S,LAC,14,0,0,27,56.6,0,0,3,0.5,0.0,0,2,0.0,0,547,3,0,0,59.1,0,0,1,0.4,0.0,0,0.0,0,234,1,0
Ty Shelby,41752,ED,LAC,1,0,0,27,65.5,0,1,5,83.3,20.0,1,0,10.0,0,6,5,1,0,59.1,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Ed Oliver,42200,DI,BUF,18,3,0,4,77.3,9,52,496,98.9,13.3,66,6,8.4,11,545,539,72,2,83.8,8,36,250,99.6,18.0,45,12.8,10,274,273,54
Divine Deablo,42208,LB,LV,15,0,1,23,62.7,1,6,34,8.2,14.7,5,2,13.2,1,473,39,8,0,62.6,1,6,12,7.5,25.0,3,29.2,0,201,15,7
Janarius Robinson,42447,ED,LV,6,0,1,23,56.6,1,2,42,93.6,9.5,4,3,6.0,1,47,44,4,0,53.6,1,1,22,96.0,9.1,2,4.5,0,25,24,2
Isaiah Simmons,42451,LB,NYG,17,0,0,21,44.1,0,7,82,31.0,3.7,3,0,5.5,1,294,91,8,0,43.0,0,5,42,34.2,4.8,2,6.0,0,146,50,5
K'Von Wallace,42467,S,TEN,13,0,0,31,60.5,1,3,13,2.6,0.0,0,1,15.4,0,500,13,4,0,49.5,0,2,5,2.4,0.0,0,20.0,0,206,5,2
Antoine Winfield Jr.,42475,S,TB,19,1,0,30,92.7,3,11,61,8.1,21.3,13,0,21.3,6,788,64,20,0,94.3,1,4,22,6.7,36.4,8,34.1,5,360,24,10
Tomon Fox,42486,ED,NYG,1,0,0,21,50.6,0,0,12,81.3,0.0,0,0,0.0,0,16,13,0,0,53.3,0,0,3,66.7,0.0,0,0.0,0,6,4,0
Rashad Weaver,42495,ED,TEN,15,0,0,31,51.3,0,7,119,95.6,6.7,8,0,2.9,0,136,130,7,0,51.6,0,5,61,95.6,9.8,6,4.1,0,68,65,5
Keir Thomas,42509,ED,LA,9,0,0,26,53.7,2,1,43,70.3,2.3,1,1,3.5,0,64,45,3,0,55.0,2,0,21,82.1,0.0,0,4.8,0,28,23,2
Krys Barnes,42548,LB,ARZ,10,1,0,1,64.4,1,1,19,8.1,5.3,1,0,5.3,0,234,19,2,0,60.0,1,0,7,7.1,0.0,0,7.1,0,98,7,1
Tayler Hawkins,42606,S,SF,1,0,0,28,40.5,0,1,3,8.6,0.0,0,1,16.7,0,35,3,1,0,39.9,0,1,1,9.1,0.0,0,50.0,0,11,1,1
Chauncey Golston,42718,DI,DAL,18,0,0,9,75.0,1,17,177,99.0,15.3,27,0,6.2,2,192,190,20,0,78.9,1,11,92,100.0,19.6,18,8.7,2,98,98,14
Nick Bosa,42741,ED,SF,20,3,1,28,92.3,31,75,655,99.4,21.8,143,7,10.5,16,698,694,122,1,91.9,19,58,324,99.7,29.0,94,15.0,10,341,340,87
Osa Odighizuwa,42754,DI,DAL,18,0,1,9,78.7,10,31,341,99.7,13.8,47,2,6.9,3,373,372,44,0,83.8,4,25,148,100.0,21.6,32,11.8,3,165,165,32
J.C. Jackson,42781,CB,NE,10,0,0,19,56.2,0,0,2,0.6,0.0,0,5,0.0,0,326,2,0,0,60.0,0,0,1,0.7,0.0,0,0.0,0,140,1,0
Kristian Fulton,42894,CB,TEN,11,0,0,31,56.3,0,0,1,0.5,0.0,0,6,0.0,0,390,2,0,0,,0,0,0,0.0,,0,,0,170,0,0
Rashan Gary,42905,ED,GB,19,1,0,12,74.2,13,43,420,99.1,16.0,67,5,9.0,10,444,440,66,1,77.1,7,31,227,99.6,20.3,46,11.9,8,244,243,46
Dicaprio Bootle,42913,CB,CAR,3,0,0,5,56.2,0,0,1,0.9,0.0,0,0,0.0,0,108,1,0,0,,0,0,0,0.0,,0,,0,51,0,0
Khalid Kareem,42993,ED,CHI,1,0,0,6,52.2,0,1,19,95.5,5.3,1,0,2.6,0,22,21,1,0,49.7,0,0,11,100.0,0.0,0,0.0,0,12,12,0
Jonathon Cooper,43021,ED,DEN,17,1,0,10,71.0,6,40,392,83.7,12.0,47,3,8.2,9,503,421,55,1,71.3,4,20,203,89.4,14.3,29,10.3,9,245,219,33
Charvarius Ward,43034,CB,SF,20,0,6,28,39.4,0,1,1,0.1,0.0,0,12,50.0,0,785,1,1,0,,0,0,0,0.0,,0,,0,381,0,0
Brandon Jones,43049,S,MIA,13,0,0,17,75.7,2,2,10,3.2,20.0,2,1,20.0,0,341,11,4,0,62.2,0,1,4,2.4,25.0,1,12.5,0,166,4,1
McTelvin Agim,43069,DI,IND,1,0,0,14,65.7,1,0,6,100.0,16.7,1,0,8.3,0,6,6,1,0,69.1,1,0,2,100.0,50.0,1,25.0,0,2,2,1
Devin White,43089,LB,TB,16,1,0,30,63.3,6,18,139,23.7,10.1,14,1,10.8,3,620,147,27,0,61.9,5,12,80,27.0,13.8,11,11.9,1,307,83,18
Jeremy Chinn,43179,S,CAR,12,0,0,5,58.4,0,1,12,8.3,0.0,0,1,12.5,1,157,13,2,0,53.4,0,1,3,5.6,0.0,0,16.7,0,54,3,1
Mack Wilson Sr.,43190,LB,NE,16,1,0,19,63.2,1,9,104,51.4,7.7,8,0,9.6,5,210,108,15,0,63.0,1,7,72,62.4,8.3,6,12.5,5,117,73,13
Richie Grant,43196,S,ATL,17,0,2,2,76.6,3,5,38,6.9,7.9,3,2,18.4,3,565,39,11,0,74.2,2,5,25,9.1,8.0,2,22.0,2,285,26,9
Joe Bachie,43250,LB,CIN,4,0,0,7,59.6,0,0,2,33.3,0.0,0,0,0.0,0,6,2,0,0,,0,0,0,0.0,,0,,0,2,0,0
Damar Hamlin,43291,S,BUF,4,0,0,4,59.1,0,0,0,3.8,,0,0,,0,26,1,0,0,,0,0,0,0.0,,0,,0,12,0,0
Myles Bryant,43336,CB,NE,17,0,0,19,52.9,0,5,15,3.0,13.3,2,2,23.3,1,562,17,6,0,57.4,0,5,11,4.0,18.2,2,31.8,1,272,11,6
Josh Metellus,43395,S,MIN,17,0,1,18,75.8,7,19,111,17.3,16.2,18,1,14.4,3,672,116,29,0,74.6,3,9,42,18.7,19.0,8,14.3,0,241,45,12
Trenton Thompson,43455,S,PIT,6,0,0,25,53.6,0,0,3,2.3,0.0,0,0,0.0,0,131,3,0,0,59.4,0,0,1,1.7,0.0,0,0.0,0,59,1,0
Nick Niemann,43500,LB,LAC,9,0,0,27,66.0,2,3,18,11.1,16.7,3,0,13.9,0,162,18,5,0,52.4,0,0,6,7.8,0.0,0,0.0,0,77,6,0
Alex Highsmith,43507,ED,PIT,18,0,1,25,85.9,12,52,501,86.1,18.0,90,3,8.0,8,617,531,72,0,82.8,6,34,249,85.7,21.7,54,10.4,6,315,270,46
Grayland Arnold,43528,CB,HST,5,0,0,13,73.8,0,1,3,3.3,0.0,0,0,16.7,0,92,3,1,0,73.8,0,1,2,4.3,0.0,0,25.0,0,47,2,1
Ben Stille,43555,DI,ARZ,5,0,0,1,52.6,0,3,61,100.0,1.6,1,1,4.1,1,66,66,4,0,59.3,0,1,18,100.0,5.6,1,8.3,1,20,20,2
Jake Hansen,43645,LB,HST,6,0,0,13,54.6,0,1,3,10.3,0.0,0,0,16.7,0,29,3,1,0,,0,0,0,0.0,,0,,0,12,0,0
Levi Onwuzurike,43679,DI,DET,13,0,0,11,68.7,1,8,98,99.1,13.3,13,0,5.6,1,107,106,10,0,73.2,1,7,47,100.0,21.3,10,10.6,1,51,51,9
Jeffery Simmons,43742,DI,TEN,12,1,2,31,75.2,5,36,366,97.5,12.8,47,6,7.2,6,403,393,47,1,79.1,3,28,177,99.5,18.1,32,11.0,4,191,190,35
